group,term,n_raw,pct_raw,n_guarded,pct_guarded,inflation
FOUNDATIONAL,infrastructure as code,236,8.81,236,8.81,0
FOUNDATIONAL,IaC,272,10.16,272,10.16,0
FOUNDATIONAL,configuration as code,12,0.45,12,0.45,0
TECHNOLOGY,Docker Compose,7,0.26,7,0.26,0
TECHNOLOGY,CloudFormation,3,0.11,3,0.11,0
TECHNOLOGY,Azure ARM,7,0.26,2,0.07,5
TECHNOLOGY,Terraform,55,2.05,55,2.05,0
TECHNOLOGY,Pulumi,5,0.19,5,0.19,0
TECHNOLOGY,Ansible,53,1.98,53,1.98,0
TECHNOLOGY,Puppet,26,0.97,26,0.97,0
TECHNOLOGY,Chef,15,0.56,15,0.56,0
TECHNOLOGY,SaltStack,0,0.00,0,0.00,0
TECHNOLOGY,CFEngine,1,0.04,1,0.04,0
TECHNOLOGY,Docker,43,1.61,43,1.61,0
TECHNOLOGY,Packer,0,0.00,0,0.00,0
TECHNOLOGY,Kubernetes,29,1.08,29,1.08,0
TECHNOLOGY,Helm,5,0.19,4,0.15,1
TECHNOLOGY,Nomad,1,0.04,0,0.00,1
TECHNOLOGY,Juju,0,0.00,0,0.00,0
TECHNOLOGY,TOSCA,9,0.34,9,0.34,0
TECHNOLOGY,Heat,5,0.19,0,0.00,5
GENERIC,container,60,2.24,60,2.24,0
GENERIC,containerization,24,0.90,24,0.90,0

,TOTAL ENTRIES,2678,100.00,2678,100.00,0
,NO TECHNOLOGY TERM,2461,91.90,2473,92.35,-12
