key,title,reason
vasileiou_knowledge-based_2025,A knowledge-based approach for guided development of {Infrastructure,no_IaC_term;no_quality_term
opdebeeck_infrastructure-as-code_2023,Infrastructure-as-{Code,no_IaC_term;no_quality_term
bhatia_terraform_2023,Terraform: {Infrastructure,no_quality_term
filho_dynamic_2025,A {Dynamic,no_IaC_term;no_quality_term
gavandi_infrastructure_2025,Infrastructure as {Code,no_IaC_term;no_quality_term
hong_enhancing_2025,Enhancing {Software,no_IaC_term;no_quality_term
mustafa_infrastructure_2023,Infrastructure as {Code,no_IaC_term;no_quality_term
qiao_statically_2025,Statically {Inferring,no_IaC_term;no_quality_term
borovits_findici_2022,{FindICI,no_IaC_term;no_quality_term
ketonen_strategies_2024,Strategies and {Challenges,no_IaC_term;no_quality_term
zeini_preliminary_2023,Preliminary {Investigation,no_IaC_term;no_quality_term
begoug_how_2024,How {Do,no_IaC_term;no_quality_term
patel_enhancing_2025,Enhancing software quality of {CI,no_IaC_term
rendon_why_2022,Why {Infrastructure,no_IaC_term;no_quality_term
rong_openiac_2022,{OpenIaC,no_quality_term
pandya_introduction_2022,Introduction to {Infrastructure,no_IaC_term;no_quality_term
wang_overview_2024,An {Overview,no_IaC_term;no_quality_term
kumar_infrastructure_2023,Infrastructure as {Code,no_IaC_term;no_quality_term
osaba_evolutionary_2023,An {Evolutionary,no_IaC_term;no_quality_term
chiari_doml_2023,{DOML,no_IaC_term;no_quality_term
pandya_management_2022,Management of {Infrastructure,no_IaC_term;no_quality_term
wizenty_model-driven_2024,Model-{Driven,no_IaC_term;no_quality_term
pandya_hands-infrastructure_2022,Hands-on {Infrastructure,no_IaC_term;no_quality_term
pandya_business_2022,Business {Solutions,no_IaC_term;no_quality_term
khushalani_infrastructure_2022,Infrastructure as {Code,no_IaC_term;no_quality_term
sabharwal_moving_2021,Moving to {Agile,no_IaC_term;no_quality_term
pandya_patterns_2022,Patterns and {Principles,no_IaC_term;no_quality_term
deshmukh_automated_2025,Automated {Security,no_IaC_term
pandya_introduction_2022-1,Introduction to {Infrastructure,no_IaC_term;no_quality_term
giordano_adoption_2023,On the adoption and effects of source code reuse on defect proneness and maintenance effort,no_IaC_term
pandya_hands-infrastructure_2022-1,Hands-on {Infrastructure,no_IaC_term;no_quality_term
melis_time-sensitive_2025,Time-{Sensitive,no_IaC_term;no_quality_term
wang_testing_2024,Testing and {Automation,no_IaC_term
smart_logging_2022,Logging and {Testing,no_IaC_term
modi_infrastructure_2021,Infrastructure as {Code,no_IaC_term;no_quality_term
riti_infrastructure_2021,Infrastructure as {Code,no_IaC_term;no_quality_term
kyryk_infrastructure_2021,Infrastructure as {Code,no_IaC_term;no_quality_term
stapp_chapter_2023,Chapter 2 {Testing,no_IaC_term
malhotra_enhanced_2025,Enhanced software change proneness prediction in android applications using balanced data techniques and advanced language models,no_IaC_term;no_quality_term
iosif_bring_2025,Bring {Your,no_IaC_term;no_quality_term
codabux_teaching_2024,Teaching {Mining,no_IaC_term;no_quality_term
mittal_ai-driven_2025,{AI,no_IaC_term;no_quality_term
rahman_come_2023,"Come for syntax, stay for speed, understand defects: an empirical study of defects in {Julia",no_IaC_term
gavandi_real-world_2025,Real-{World,no_IaC_term;no_quality_term
santos_need_2025,On the need to monitor continuous integration practices,no_IaC_term
azuma_empirical_2022,An empirical study on self-admitted technical debt in {Dockerfiles,no_quality_term
baruah_devops_2024,{DevOps,no_IaC_term;no_quality_term
chiari_developing_2022,Developing a {New,no_IaC_term;no_quality_term
golis_creating_2024,Creating a {Self,no_IaC_term;no_quality_term
raju_ai_2025,{AI,no_IaC_term;no_quality_term
carducci_microservices_2025,The {Microservices,no_IaC_term;no_quality_term
lepiller_analyzing_2021,Analyzing {Infrastructure,no_IaC_term
tomtsis_icarus_2025,Icarus: {A,no_IaC_term;no_quality_term
szandala_aiops_2025,{AIOps,no_IaC_term;no_quality_term
konala_metadata_2025,Metadata {Assisted,no_IaC_term;no_quality_term
clark_implementing_2025,Implementing {CI,no_IaC_term;no_quality_term
rahman_elevating_2025,Elevating skills in {Azure,no_IaC_term;no_quality_term
ntentos_assessing_2022,Assessing {Architecture,no_IaC_term;no_quality_term
prates_devsecops_2024,{DevSecOps,no_IaC_term;no_quality_term
azad_understanding_2024,Understanding {DevOps,no_IaC_term;no_quality_term
rao_comparative_2025,A {Comparative,no_IaC_term;no_quality_term
antonelli_dirclustering_2024,“{Dirclustering,no_IaC_term;no_quality_term
sion_ctam_2023,Ctam: {A,no_IaC_term;no_quality_term
lesteve_applying_2023,Applying {DevOps,no_IaC_term;no_quality_term
kalantari_systematizing_2024,Systematizing modeler experience ({MX,no_IaC_term;no_quality_term
lawand_making_2025,Making a {Pipeline,no_IaC_term;no_quality_term
bhatia_debugging_2023,Debugging for {Import,no_IaC_term
vorel_generative_2025,Generative {AI,no_IaC_term;no_quality_term
kwon_exploring_2024,Exploring the {Feasibility,no_IaC_term;no_quality_term
clark_introduction_2025,Introduction to {Continuous,no_IaC_term;no_quality_term
mustafa_understanding_2023,Understanding {DevOps,no_IaC_term;no_quality_term
chung_multivocal_2025,A {Multivocal,no_IaC_term;no_quality_term
mahavaishnavi_secure_2024,Secure container {Orchestration,no_quality_term
presilla_building_2022,Building {Secured,no_IaC_term;no_quality_term
poth_make_2025,Make {Product,no_IaC_term;no_quality_term
pylayeva_what_2024,What {You,no_IaC_term;no_quality_term
oliveira_how_2022,How do developers collaborate? {Investigating,no_IaC_term;no_quality_term
ahmed_security_2024,Security in {Cloud,no_IaC_term
krishna_kaiser_introduction_2023,Introduction to {DevOps,no_IaC_term;no_quality_term
van_merode_requirements_2023,Requirements {Analysis,no_IaC_term
okumoto_digital_2025,Digital {Transformation,no_IaC_term;no_quality_term
clark_fundamentals_2025,The {Fundamentals,no_IaC_term;no_quality_term
beloki_automation_2025,Automation to {Enable,no_IaC_term;no_quality_term
jakku_integrating_2025,Integrating {Zero,no_IaC_term;no_quality_term
wienholt_test_2025,Test {Augmentation,no_IaC_term
gupta_big_2025,Big {Data,no_IaC_term;no_quality_term
aditi_utilizing_2024,Utilizing convolutional neural networks for resource allocation bottleneck analysis in cloud ecosystems,no_IaC_term
minon_artifactops_2025,{ArtifactOps,no_IaC_term;no_quality_term
lombardi_devops_2023,From {DevOps,no_IaC_term;no_quality_term
kumara_mlops_2025,{MLOps,no_IaC_term;no_quality_term
sahu_future_2024,Future {Trends,no_IaC_term;no_quality_term
soh_infrastructure_2020,Infrastructure as {Code,no_IaC_term;no_quality_term
sahu_security_2024,Security {Standards,no_IaC_term
salecha_what_2022,What {Is,no_IaC_term;no_quality_term
iftikhar_future_2025,Future {Emerging,no_IaC_term;no_quality_term
luntovskyy_advanced_2024,Advanced {Software,no_IaC_term;no_quality_term
berton_installing_2022,Installing {Ansible,no_quality_term
stencel_best_2025,Best {Practices,no_IaC_term
azad_devops_2024,{DevOps,no_IaC_term;no_quality_term
puppala_serverless_2024,Serverless {Computing,no_IaC_term;no_quality_term
pylayeva_be_2024,Be the {Gamemaster,no_IaC_term;no_quality_term
arabat_empirical_2024,An empirical study on cross-component dependent changes: {A,no_IaC_term;no_quality_term
callegati_investigating_2025,Investigating operational technology attacks as code,no_IaC_term;no_quality_term
kaiser_ai_2024,{AI,no_IaC_term;no_quality_term
kamata_intentional_2025,Intentional {Reproduction,no_IaC_term;no_quality_term
ahmed_cicd_2024,{CI,no_IaC_term;no_quality_term
vorel_cloud-native_2025,Cloud-{Native,no_IaC_term;no_quality_term
russo_cloud-native_2023,Cloud-{Native,no_IaC_term;no_quality_term
neharika_investigations_2022,Investigations into {Secure,no_IaC_term;no_quality_term
graham_architecture_2025,Architecture {Technical,no_IaC_term;no_quality_term
delgado-troncoso_software_2025,Software {Application,no_IaC_term;no_quality_term
tomar_migration_2024,Migration of {Model,no_IaC_term;no_quality_term
choi_upgrading_2024,Upgrading {Multiple,no_IaC_term;no_quality_term
elnour_vspace_2025,{vSPACE,no_IaC_term;no_quality_term
stencel_getting_2025,Getting {Started,no_IaC_term;no_quality_term
selvaraj_advanced_2023,Advanced {DevOps,no_IaC_term;no_quality_term
chowdhury_network_2025,Network {Automation,no_IaC_term;no_quality_term
hoeppner_tools_2025,Tools and {Techniques,no_IaC_term;no_quality_term
sosa_build_2025,Build {Software,no_IaC_term;no_quality_term
edwards_application_2024,Application {Security,no_IaC_term
leander_essence_2025,The {Essence,no_IaC_term;no_quality_term
sendas_operational_2024,Operational {Excellence,no_IaC_term;no_quality_term
azad_understanding_2023,Understanding {DevOps,no_IaC_term;no_quality_term
gupta_continuous_2024,Continuous {Integration,no_IaC_term;no_quality_term
park_private_2025,Private cloud bespoke orchestrator: techniques for constructing and operating bespoke-private cloud virtual machine environments for cloud users,no_IaC_term;no_quality_term
